nohup: ignoring input
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 3: Building dataset
============================================================

Loading legal chunks...
  Loaded 221122 from legal_train.jsonl
  Loaded 50010 from legal_val.jsonl
  Total legal train: 221122
  Total legal val:   50010

Loading second-pass legal examples...
  Loaded 21240 from legal_second_pass.jsonl
  Total second-pass: 21240

Loading arXiv anchor (limit=20000)...
  Loaded 10000 from arxiv_aligned.jsonl
  Loaded 10000 from pubmed_aligned.jsonl
Loading CNN/DM anchor (limit=10000)...
  Loaded 10000 CNN/DM samples

  Legal chunks      : 221122
  Second-pass       : 21240
  arXiv anchor      : 20000
  CNN/DM anchor     : 10000
  Val set           : 2000
  Train steps/epoch : 24569
  Val batches       : 125
  Batch composition : 9 legal + 4 2nd-pass + 2 arXiv + 1 cnn = 16
Model built — 32,413,184 trainable parameters

Loading Stage 2 checkpoint: checkpoints/stage2_best.pt
  Stage 2 val loss: 4.4732
  Stage 2 epoch:    3
  Dropout updated to 0.3

Total steps: 245690, Warmup: 500

Reference: On March 8th, 2014, several citizens of Montgomery, Alabama, who had been imprisoned for failing to pay traffic fines, filed a lawsuit in the U.S. District Court for the Middle District of Alabama, un
============================================================

>>> Unfreezing stage 1: 17,047,808 trainable parameters
  batch 10200/24569 | loss 5.0801 | grad 2.271 | lr 4.98e-05
  batch 10300/24569 | loss 4.9696 | grad 1.872 | lr 4.98e-05
  batch 10400/24569 | loss 5.1153 | grad 2.402 | lr 4.98e-05
  batch 10500/24569 | loss 4.8375 | grad 2.169 | lr 4.98e-05
  batch 10600/24569 | loss 5.0612 | grad 1.962 | lr 4.98e-05
  batch 10700/24569 | loss 4.9596 | grad 1.863 | lr 4.98e-05
  batch 10800/24569 | loss 4.7466 | grad 1.919 | lr 4.98e-05
  batch 10900/24569 | loss 4.5984 | grad 2.163 | lr 4.98e-05
  batch 11000/24569 | loss 4.8461 | grad 2.391 | lr 4.98e-05
  batch 11100/24569 | loss 4.8510 | grad 1.892 | lr 4.98e-05
  batch 11200/24569 | loss 4.8099 | grad 1.951 | lr 4.98e-05
  batch 11300/24569 | loss 4.5947 | grad 3.800 | lr 4.98e-05
  batch 11400/24569 | loss 4.8441 | grad 2.071 | lr 4.98e-05
  batch 11500/24569 | loss 4.9488 | grad 2.064 | lr 4.98e-05
  batch 11600/24569 | loss 4.8535 | grad 2.306 | lr 4.98e-05
  batch 11700/24569 | loss 4.7138 | grad 2.092 | lr 4.97e-05
  batch 11800/24569 | loss 4.6829 | grad 2.428 | lr 4.97e-05
  batch 11900/24569 | loss 4.9026 | grad 2.341 | lr 4.97e-05
  batch 12000/24569 | loss 4.4835 | grad 2.167 | lr 4.97e-05
  batch 12100/24569 | loss 4.6986 | grad 2.172 | lr 4.97e-05
  batch 12200/24569 | loss 4.9932 | grad 2.336 | lr 4.97e-05
  batch 12300/24569 | loss 4.8593 | grad 2.094 | lr 4.97e-05
  batch 12400/24569 | loss 4.5360 | grad 2.038 | lr 4.97e-05
  batch 12500/24569 | loss 4.8520 | grad 2.060 | lr 4.97e-05
  batch 12600/24569 | loss 4.6741 | grad 2.166 | lr 4.97e-05
  batch 12700/24569 | loss 4.6641 | grad 2.064 | lr 4.97e-05
  batch 12800/24569 | loss 4.7089 | grad 2.027 | lr 4.97e-05
  batch 12900/24569 | loss 4.8185 | grad 2.201 | lr 4.97e-05
  batch 13000/24569 | loss 4.7132 | grad 1.891 | lr 4.97e-05
  batch 13100/24569 | loss 4.6593 | grad 1.871 | lr 4.97e-05
  batch 13200/24569 | loss 4.9267 | grad 1.862 | lr 4.97e-05
  batch 13300/24569 | loss 4.9669 | grad 2.028 | lr 4.97e-05
  batch 13400/24569 | loss 4.6371 | grad 2.308 | lr 4.97e-05
  batch 13500/24569 | loss 4.6311 | grad 2.403 | lr 4.97e-05
  batch 13600/24569 | loss 4.8220 | grad 1.940 | lr 4.97e-05
  batch 13700/24569 | loss 5.0273 | grad 2.561 | lr 4.97e-05
  batch 13800/24569 | loss 4.6763 | grad 2.207 | lr 4.96e-05
  batch 13900/24569 | loss 4.8653 | grad 2.024 | lr 4.96e-05
  batch 14000/24569 | loss 4.8121 | grad 3.348 | lr 4.96e-05
  batch 14100/24569 | loss 4.6082 | grad 2.281 | lr 4.96e-05
  batch 14200/24569 | loss 4.8800 | grad 2.539 | lr 4.96e-05
  batch 14300/24569 | loss 4.9764 | grad 1.908 | lr 4.96e-05
  batch 14400/24569 | loss 4.7843 | grad 2.088 | lr 4.96e-05
  batch 14500/24569 | loss 4.6272 | grad 1.928 | lr 4.96e-05
  batch 14600/24569 | loss 4.7259 | grad 2.114 | lr 4.96e-05
  batch 14700/24569 | loss 4.8468 | grad 2.390 | lr 4.96e-05
  batch 14800/24569 | loss 4.7430 | grad 2.226 | lr 4.96e-05
