nohup: ignoring input
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 2: Building dataset
============================================================

Loading aligned chunk data...
  Loaded 1501124 examples from arxiv_aligned.jsonl
  Loaded 777318 examples from pubmed_aligned.jsonl
  Total aligned chunks: 2278442

Loading second-pass examples...
  Loaded 315737 examples from second_pass.jsonl

Loading CNN/DailyMail anchor data...
  CNN/DM anchor samples: 287113

Building validation set (first chunk per paper, no augment)...

  Chunk examples    : 2278442
  Second-pass       : 315737
  Anchor (CNN/DM)   : 287113
  Val (first chunk) : 5000
  Train steps/epoch : 60000
  Val batches       : 313
  Batch composition : 9 chunk + 4 second-pass + 3 anchor = 16
Model built — 32,413,184 trainable parameters

Loading Stage 1 checkpoint: checkpoints/stage1_best.pt
  Stage 1 val loss: 3.7116
  Stage 1 epoch:    15
  Dropout updated to 0.15

Total steps: 480000, Warmup: 4000

Reference: additive models play an important role in semiparametric statistics . 
 this paper gives learning rates for regularized kernel based methods for additive models . 
 these learning rates compare favour
============================================================
  batch 22600/60000 | loss 3.9961 | grad 1.565 | lr 9.96e-05
  batch 22800/60000 | loss 4.4266 | grad 1.681 | lr 9.96e-05
  batch 23000/60000 | loss 4.1368 | grad 1.677 | lr 9.96e-05
  batch 23200/60000 | loss 4.2500 | grad 1.543 | lr 9.96e-05
  batch 23400/60000 | loss 4.1353 | grad 1.594 | lr 9.96e-05
  batch 23600/60000 | loss 4.1036 | grad 1.597 | lr 9.96e-05
  batch 23800/60000 | loss 4.0813 | grad 1.495 | lr 9.96e-05
  batch 24000/60000 | loss 4.0441 | grad 1.596 | lr 9.96e-05
  batch 24200/60000 | loss 4.1736 | grad 1.588 | lr 9.96e-05
  batch 24400/60000 | loss 4.1288 | grad 1.877 | lr 9.96e-05
  batch 24600/60000 | loss 4.2510 | grad 1.626 | lr 9.95e-05
  batch 24800/60000 | loss 4.2847 | grad 1.488 | lr 9.95e-05
  batch 25000/60000 | loss 4.0881 | grad 1.763 | lr 9.95e-05
  batch 25200/60000 | loss 4.2214 | grad 2.136 | lr 9.95e-05
  batch 25400/60000 | loss 4.2147 | grad 1.673 | lr 9.95e-05
  batch 25600/60000 | loss 4.0420 | grad 1.522 | lr 9.95e-05
  batch 25800/60000 | loss 4.4439 | grad 1.702 | lr 9.95e-05
  batch 26000/60000 | loss 4.1312 | grad 1.881 | lr 9.95e-05
  batch 26200/60000 | loss 4.0171 | grad 1.781 | lr 9.95e-05
  batch 26400/60000 | loss 4.1662 | grad 1.739 | lr 9.95e-05
  batch 26600/60000 | loss 4.1911 | grad 1.504 | lr 9.95e-05
  batch 26800/60000 | loss 4.2136 | grad 1.858 | lr 9.94e-05
  batch 27000/60000 | loss 3.9572 | grad 1.844 | lr 9.94e-05
  batch 27200/60000 | loss 4.1456 | grad 1.643 | lr 9.94e-05
  batch 27400/60000 | loss 3.9071 | grad 1.682 | lr 9.94e-05
  batch 27600/60000 | loss 4.1797 | grad 1.856 | lr 9.94e-05
  batch 27800/60000 | loss 4.1542 | grad 1.721 | lr 9.94e-05
  batch 28000/60000 | loss 4.1991 | grad 1.877 | lr 9.94e-05
  batch 28200/60000 | loss 3.9746 | grad 1.566 | lr 9.94e-05
  batch 28400/60000 | loss 4.2368 | grad 1.770 | lr 9.94e-05
  batch 28600/60000 | loss 4.0094 | grad 1.395 | lr 9.93e-05
  batch 28800/60000 | loss 4.2526 | grad 1.639 | lr 9.93e-05
  batch 29000/60000 | loss 3.9987 | grad 1.976 | lr 9.93e-05
  batch 29200/60000 | loss 4.2489 | grad 1.594 | lr 9.93e-05
  batch 29400/60000 | loss 3.9565 | grad 1.518 | lr 9.93e-05
  batch 29600/60000 | loss 4.1113 | grad 2.068 | lr 9.93e-05
  batch 29800/60000 | loss 4.2812 | grad 1.518 | lr 9.93e-05
  batch 30000/60000 | loss 4.1467 | grad 1.785 | lr 9.93e-05
  batch 30200/60000 | loss 4.3175 | grad 1.700 | lr 9.93e-05
  batch 30400/60000 | loss 4.1099 | grad 1.563 | lr 9.93e-05
  batch 30600/60000 | loss 4.0940 | grad 1.832 | lr 9.92e-05
  batch 30800/60000 | loss 3.9054 | grad 1.887 | lr 9.92e-05
